Nama_Kota,Curah_Hujan_(mm),Produksi_Padi_2021,Produksi_Padi_2022,Produksi_Padi_2023
Kabupaten Sumenep,58.86,"221979,41","230581,31","217810,48"
Kabupaten Trenggalek,28.41,"116456,34","115758,01","114874,53"
Kabupaten Tuban,29.56,"489418,62","498938,59","501741,12"
Kabupaten Tulungagung,28.41,"237916,96","207217,26","235502,11"
Kota Batu,74.22,"5750,19","6762,57","4862,81"
Kota Blitar,27.6,"247366,27","215482,79","240224,41"
Kota Blitar,27.6,"5793,3","5212,13","5636,68"
Kota Kediri,31.59,"198222,01","168853,55","183533,76"
Kota Kediri,31.59,"9534,86","10197,5","8271,57"
Kota Madiun,31.2,"461798,12","401573,69","437593,08"
Kota Madiun,31.2,"13505,81","11453,92","12169,62"
Kota Malang,60.61,"273358,61","271606,78","279365,91"
Kota Malang,60.61,"11311,4","10771,15","10318,57"
Kota Mojokerto,50.62,"297042,32","281829,41","302890,75"
Kota Mojokerto,50.62,"4414,93","5032,96","3292,78"
Kota Pasuruan,25.66,"264950,78","247255,72","260061,94"
Kota Pasuruan,25.66,"8304,59","7293,69","8020,03"
Kota Probolinggo,24.03,"190180,14","185412,51","201044,34"
Kota Probolinggo,24.03,"8924,08","8103,92","7502,06"
Kota Surabaya,17.92,"9832,67","8117,31","8068,88"
Kabupaten Bangkalan,9.43,"195323,29","198122,71","186257,96"
Kabupaten Banyuwangi,6.07,"513490,07","462205,98","454768,46"
Kabupaten Blitar,10.12,"247366,27","215482,79","240224,41"
Kabupaten Blitar,10.12,"5793,3","5212,13","5636,68"
Kabupaten Bojonegoro,7.05,674002,"704288,94","705962,63"
Kabupaten Bondowoso,14.38,"258951,46","238677,65","247778,74"
Kabupaten Gresik,12.56,"379666,19","411242,2","417428,58"
Kabupaten Jember,10.03,"615697,87","607371,19","616725,77"
Kabupaten Jombang,9.66,"326826,64","337172,14","346873,45"
Kabupaten Kediri,18.54,"198222,01","168853,55","183533,76"
Kabupaten Kediri,18.54,"9534,86","10197,5","8271,57"
Kabupaten Lamongan,12.56,"792662,09","903882,29","798704,85"
Kabupaten Lumajang,7.08,"295075,52","300829,01","308646,08"
Kabupaten Madiun,10.54,"461798,12","401573,69","437593,08"
Kabupaten Madiun,10.54,"13505,81","11453,92","12169,62"
Kabupaten Magetan,10.54,"307279,68","266699,89","280592,09"
Kabupaten Malang,9.49,"273358,61","271606,78","279365,91"
Kabupaten Malang,9.49,"11311,4","10771,15","10318,57"
Kabupaten Mojokerto,10.73,"297042,32","281829,41","302890,75"
Kabupaten Mojokerto,10.73,"4414,93","5032,96","3292,78"
Kabupaten Nganjuk,13.22,"429311,01","376476,43","418096,11"
Kabupaten Ngawi,10.54,"786475,65","755938,95","771251,37"
Kabupaten Pacitan,7.24,"88116,57","90428,21","92992,64"
Kabupaten Pamekasan,6.4,"96723,97","107648,71","108483,14"
Kabupaten Pasuruan,12.51,"264950,78","247255,72","260061,94"
Kabupaten Pasuruan,12.51,"8304,59","7293,69","8020,03"
Kabupaten Ponorogo,13.62,"404665,04","359413,77","392994,08"
Kabupaten Probolinggo,6.96,"190180,14","185412,51","201044,34"
Kabupaten Probolinggo,6.96,"8924,08","8103,92","7502,06"
Kabupaten Sampang,10.97,"195600,69","172494,38","167191,35"
Kabupaten Sidoarjo,17.48,"202501,4","194540,45","195855,35"
Kabupaten Situbondo,9.74,"151157,12",141628,"157273,25"
Kabupaten Sumenep,7.61,"221979,41","230581,31","217810,48"
Kabupaten Trenggalek,14.35,"116456,34","115758,01","114874,53"
Kabupaten Tuban,7.05,"489418,62","498938,59","501741,12"
Kabupaten Tulungagung,14.35,"237916,96","207217,26","235502,11"
Kota Batu,14.05,"5750,19","6762,57","4862,81"
Kota Blitar,10.12,"247366,27","215482,79","240224,41"
Kota Blitar,10.12,"5793,3","5212,13","5636,68"
Kota Kediri,18.54,"198222,01","168853,55","183533,76"
Kota Kediri,18.54,"9534,86","10197,5","8271,57"
Kota Madiun,10.54,"461798,12","401573,69","437593,08"
Kota Madiun,10.54,"13505,81","11453,92","12169,62"
Kota Malang,13.75,"273358,61","271606,78","279365,91"
Kota Malang,13.75,"11311,4","10771,15","10318,57"
Kota Mojokerto,10.73,"297042,32","281829,41","302890,75"
Kota Mojokerto,10.73,"4414,93","5032,96","3292,78"
Kota Pasuruan,12.51,"264950,78","247255,72","260061,94"
Kota Pasuruan,12.51,"8304,59","7293,69","8020,03"
Kota Probolinggo,6.96,"190180,14","185412,51","201044,34"
Kota Probolinggo,6.96,"8924,08","8103,92","7502,06"
Kota Surabaya,17.48,"9832,67","8117,31","8068,88"
Kabupaten Bangkalan,8.73,"195323,29","198122,71","186257,96"
Kabupaten Banyuwangi,3.5,"513490,07","462205,98","454768,46"
Kabupaten Blitar,9.81,"247366,27","215482,79","240224,41"
Kabupaten Blitar,9.81,"5793,3","5212,13","5636,68"
Kabupaten Bojonegoro,4.4,674002,"704288,94","705962,63"
Kabupaten Bondowoso,11.29,"258951,46","238677,65","247778,74"
Kabupaten Gresik,7.02,"379666,19","411242,2","417428,58"
Kabupaten Jember,10.12,"615697,87","607371,19","616725,77"
Kabupaten Jombang,4.36,"326826,64","337172,14","346873,45"
Kabupaten Kediri,2.76,"198222,01","168853,55","183533,76"
Kabupaten Kediri,2.76,"9534,86","10197,5","8271,57"
Kabupaten Lamongan,7.02,"792662,09","903882,29","798704,85"
Kabupaten Lumajang,15.74,"295075,52","300829,01","308646,08"
Kabupaten Madiun,6.14,"461798,12","401573,69","437593,08"
Kabupaten Madiun,6.14,"13505,81","11453,92","12169,62"
Kabupaten Magetan,6.14,"307279,68","266699,89","280592,09"
Kabupaten Malang,18.46,"273358,61","271606,78","279365,91"
Kabupaten Malang,18.46,"11311,4","10771,15","10318,57"
Kabupaten Mojokerto,6.66,"297042,32","281829,41","302890,75"
Kabupaten Mojokerto,6.66,"4414,93","5032,96","3292,78"
Kabupaten Nganjuk,2.82,"429311,01","376476,43","418096,11"
Kabupaten Ngawi,6.14,"786475,65","755938,95","771251,37"
Kabupaten Pacitan,10.01,"88116,57","90428,21","92992,64"
Kabupaten Pamekasan,12.88,"96723,97","107648,71","108483,14"
Kabupaten Pasuruan,26.48,"264950,78","247255,72","260061,94"
Kabupaten Pasuruan,26.48,"8304,59","7293,69","8020,03"
Kabupaten Ponorogo,6.87,"404665,04","359413,77","392994,08"
Kabupaten Probolinggo,19.27,"190180,14","185412,51","201044,34"
Kabupaten Probolinggo,19.27,"8924,08","8103,92","7502,06"
Kabupaten Sampang,10.9,"195600,69","172494,38","167191,35"
Kabupaten Sidoarjo,7.98,"202501,4","194540,45","195855,35"
Kabupaten Situbondo,8.66,"151157,12",141628,"157273,25"
Kabupaten Sumenep,23.35,"221979,41","230581,31","217810,48"
Kabupaten Trenggalek,3.78,"116456,34","115758,01","114874,53"
Kabupaten Tuban,4.4,"489418,62","498938,59","501741,12"
Kabupaten Tulungagung,3.78,"237916,96","207217,26","235502,11"
Kota Batu,12.95,"5750,19","6762,57","4862,81"
Kota Blitar,9.81,"247366,27","215482,79","240224,41"
Kota Blitar,9.81,"5793,3","5212,13","5636,68"
Kota Kediri,2.76,"198222,01","168853,55","183533,76"
Kota Kediri,2.76,"9534,86","10197,5","8271,57"
Kota Madiun,6.14,"461798,12","401573,69","437593,08"
Kota Madiun,6.14,"13505,81","11453,92","12169,62"
Kota Malang,23.15,"273358,61","271606,78","279365,91"
Kota Malang,23.15,"11311,4","10771,15","10318,57"
Kota Mojokerto,6.66,"297042,32","281829,41","302890,75"
Kota Mojokerto,6.66,"4414,93","5032,96","3292,78"
Kota Pasuruan,26.48,"264950,78","247255,72","260061,94"
Kota Pasuruan,26.48,"8304,59","7293,69","8020,03"
Kota Probolinggo,19.27,"190180,14","185412,51","201044,34"
Kota Probolinggo,19.27,"8924,08","8103,92","7502,06"
Kota Surabaya,7.98,"9832,67","8117,31","8068,88"
Kabupaten Bangkalan,5.8,"195323,29","198122,71","186257,96"
Kabupaten Banyuwangi,49.72,"513490,07","462205,98","454768,46"
Kabupaten Blitar,18.2,"247366,27","215482,79","240224,41"
Kabupaten Blitar,18.2,"5793,3","5212,13","5636,68"
Kabupaten Bojonegoro,3.69,674002,"704288,94","705962,63"
Kabupaten Bondowoso,51.64,"258951,46","238677,65","247778,74"
Kabupaten Gresik,3.53,"379666,19","411242,2","417428,58"
Kabupaten Jember,66.33,"615697,87","607371,19","616725,77"
Kabupaten Jombang,2.86,"326826,64","337172,14","346873,45"
Kabupaten Kediri,8.73,"198222,01","168853,55","183533,76"
Kabupaten Kediri,8.73,"9534,86","10197,5","8271,57"
Kabupaten Lamongan,3.53,"792662,09","903882,29","798704,85"
Kabupaten Lumajang,20.1,"295075,52","300829,01","308646,08"
Kabupaten Madiun,4.15,"461798,12","401573,69","437593,08"
Kabupaten Madiun,4.15,"13505,81","11453,92","12169,62"
Kabupaten Magetan,4.15,"307279,68","266699,89","280592,09"
Kabupaten Malang,23.77,"273358,61","271606,78","279365,91"
Kabupaten Malang,23.77,"11311,4","10771,15","10318,57"
Kabupaten Mojokerto,2.85,"297042,32","281829,41","302890,75"
Kabupaten Mojokerto,2.85,"4414,93","5032,96","3292,78"
Kabupaten Nganjuk,4.99,"429311,01","376476,43","418096,11"
Kabupaten Ngawi,4.15,"786475,65","755938,95","771251,37"
Kabupaten Pacitan,19.77,"88116,57","90428,21","92992,64"
Kabupaten Pamekasan,6.53,"96723,97","107648,71","108483,14"
Kabupaten Pasuruan,4.77,"264950,78","247255,72","260061,94"
Kabupaten Pasuruan,4.77,"8304,59","7293,69","8020,03"
Kabupaten Ponorogo,9.05,"404665,04","359413,77","392994,08"
Kabupaten Probolinggo,3.88,"190180,14","185412,51","201044,34"
Kabupaten Probolinggo,3.88,"8924,08","8103,92","7502,06"
Kabupaten Sampang,2.65,"195600,69","172494,38","167191,35"
Kabupaten Sidoarjo,2.74,"202501,4","194540,45","195855,35"
Kabupaten Situbondo,25.21,"151157,12",141628,"157273,25"
Kabupaten Sumenep,10.25,"221979,41","230581,31","217810,48"
Kabupaten Trenggalek,13.67,"116456,34","115758,01","114874,53"
Kabupaten Tuban,3.69,"489418,62","498938,59","501741,12"
Kabupaten Tulungagung,13.67,"237916,96","207217,26","235502,11"
Kota Batu,17.15,"5750,19","6762,57","4862,81"
Kota Blitar,18.2,"247366,27","215482,79","240224,41"
Kota Blitar,18.2,"5793,3","5212,13","5636,68"
Kota Kediri,8.73,"198222,01","168853,55","183533,76"
Kota Kediri,8.73,"9534,86","10197,5","8271,57"
Kota Madiun,4.15,"461798,12","401573,69","437593,08"
Kota Madiun,4.15,"13505,81","11453,92","12169,62"
Kota Malang,15.35,"273358,61","271606,78","279365,91"
Kota Malang,15.35,"11311,4","10771,15","10318,57"
Kota Mojokerto,2.85,"297042,32","281829,41","302890,75"
Kota Mojokerto,2.85,"4414,93","5032,96","3292,78"
Kota Pasuruan,4.77,"264950,78","247255,72","260061,94"
Kota Pasuruan,4.77,"8304,59","7293,69","8020,03"
Kota Probolinggo,3.88,"190180,14","185412,51","201044,34"
Kota Probolinggo,3.88,"8924,08","8103,92","7502,06"
Kota Surabaya,2.74,"9832,67","8117,31","8068,88"
Kabupaten Bangkalan,5.23,"195323,29","198122,71","186257,96"
Kabupaten Banyuwangi,1.96,"513490,07","462205,98","454768,46"
Kabupaten Blitar,4.11,"247366,27","215482,79","240224,41"
Kabupaten Blitar,4.11,"5793,3","5212,13","5636,68"
Kabupaten Bojonegoro,3.74,674002,"704288,94","705962,63"
Kabupaten Bondowoso,1.82,"258951,46","238677,65","247778,74"
Kabupaten Gresik,5.38,"379666,19","411242,2","417428,58"
Kabupaten Jember,2.3,"615697,87","607371,19","616725,77"
Kabupaten Jombang,2.48,"326826,64","337172,14","346873,45"
Kabupaten Kediri,4.76,"198222,01","168853,55","183533,76"
Kabupaten Kediri,4.76,"9534,86","10197,5","8271,57"
Kabupaten Lamongan,5.38,"792662,09","903882,29","798704,85"
Kabupaten Lumajang,3.35,"295075,52","300829,01","308646,08"
Kabupaten Madiun,3.45,"461798,12","401573,69","437593,08"
Kabupaten Madiun,3.45,"13505,81","11453,92","12169,62"
Kabupaten Magetan,3.45,"307279,68","266699,89","280592,09"
Kabupaten Malang,1.02,"273358,61","271606,78","279365,91"
Kabupaten Malang,1.02,"11311,4","10771,15","10318,57"
Kabupaten Mojokerto,3.88,"297042,32","281829,41","302890,75"
Kabupaten Mojokerto,3.88,"4414,93","5032,96","3292,78"
Kabupaten Nganjuk,5.37,"429311,01","376476,43","418096,11"
Kabupaten Ngawi,3.45,"786475,65","755938,95","771251,37"
Kabupaten Pacitan,1.62,"88116,57","90428,21","92992,64"
Kabupaten Pamekasan,2.77,"96723,97","107648,71","108483,14"
Kabupaten Pasuruan,2.18,"264950,78","247255,72","260061,94"
Kabupaten Pasuruan,2.18,"8304,59","7293,69","8020,03"
Kabupaten Ponorogo,0.41,"404665,04","359413,77","392994,08"
Kabupaten Probolinggo,1.1,"190180,14","185412,51","201044,34"
Kabupaten Probolinggo,1.1,"8924,08","8103,92","7502,06"
Kabupaten Sampang,4.64,"195600,69","172494,38","167191,35"
Kabupaten Sidoarjo,5.18,"202501,4","194540,45","195855,35"
Kabupaten Situbondo,2.11,"151157,12",141628,"157273,25"
Kabupaten Sumenep,2.81,"221979,41","230581,31","217810,48"
Kabupaten Trenggalek,2.11,"116456,34","115758,01","114874,53"
Kabupaten Tuban,3.74,"489418,62","498938,59","501741,12"
Kabupaten Tulungagung,2.11,"237916,96","207217,26","235502,11"
Kota Batu,2.84,"5750,19","6762,57","4862,81"
Kota Blitar,4.11,"247366,27","215482,79","240224,41"
Kota Blitar,4.11,"5793,3","5212,13","5636,68"
Kota Kediri,4.76,"198222,01","168853,55","183533,76"
Kota Kediri,4.76,"9534,86","10197,5","8271,57"
Kota Madiun,3.45,"461798,12","401573,69","437593,08"
Kota Madiun,3.45,"13505,81","11453,92","12169,62"
Kota Malang,0.98,"273358,61","271606,78","279365,91"
Kota Malang,0.98,"11311,4","10771,15","10318,57"
Kota Mojokerto,3.88,"297042,32","281829,41","302890,75"
Kota Mojokerto,3.88,"4414,93","5032,96","3292,78"
Kota Pasuruan,2.18,"264950,78","247255,72","260061,94"
Kota Pasuruan,2.18,"8304,59","7293,69","8020,03"
Kota Probolinggo,1.1,"190180,14","185412,51","201044,34"
Kota Probolinggo,1.1,"8924,08","8103,92","7502,06"
Kota Surabaya,5.18,"9832,67","8117,31","8068,88"
Kabupaten Bangkalan,5.19,"195323,29","198122,71","186257,96"
Kabupaten Banyuwangi,2.88,"513490,07","462205,98","454768,46"
Kabupaten Blitar,4.27,"247366,27","215482,79","240224,41"
Kabupaten Blitar,4.27,"5793,3","5212,13","5636,68"
Kabupaten Bojonegoro,4.01,674002,"704288,94","705962,63"
Kabupaten Bondowoso,0.87,"258951,46","238677,65","247778,74"
